한식,용달운송,부동산,옷가게,주점,미용실,슈퍼마켓,분식,세탁소,노래방,편의점,치킨집,카센터,과일채소가게,정육점,중국집,당구장,빵집,pc방,인구,면적,인구밀도,음료점,사업체수,총종사자수,총여성종사자수,운영평균,폐업평균,기간_2015,기간_2016,기간_2017,기간_2018,기간_2019
91,131,53,24,54,41,29,21,22,12,15,16,5,8,12,7,7,6,3,36575,1.11,32950,11,1335,4070,2337,97.75,46.25,1,0,0,0,0
136,35,32,11,101,33,23,29,11,21,14,10,10,5,10,7,8,4,5,18368,2.27,8092,34,1247,9003,3963,83.5,47.0,1,0,0,0,0
26,111,23,12,21,44,32,17,15,9,12,8,8,8,7,3,4,7,6,30810,0.96,32094,7,918,2474,1253,102.5,55.25,1,0,0,0,0
11,56,15,3,6,15,11,8,8,1,2,5,0,2,5,2,1,3,1,17257,0.8,21571,4,398,2058,1094,79.75,48.0,1,0,0,0,0
80,39,22,23,50,25,7,11,12,12,19,11,7,6,7,6,1,7,4,18568,3.27,5678,15,913,6397,2673,91.75,49.0,1,0,0,0,0
176,53,35,7,64,46,29,48,23,26,29,23,0,3,6,16,12,8,31,23766,8.3,2863,66,1724,12777,6837,86.0,46.0,1,0,0,0,0
70,158,33,56,33,50,27,19,22,11,15,15,15,8,13,6,4,7,2,34030,1.38,24659,13,1585,6428,3088,99.5,49.5,1,0,0,0,0
101,76,35,182,39,49,19,16,19,16,10,12,2,8,11,8,4,10,3,26976,0.76,35495,21,1421,7131,3808,86.75,48.0,1,0,0,0,0
57,117,29,35,18,34,30,8,20,5,3,6,8,20,13,5,1,3,0,28164,2.66,10588,1,1051,2390,1186,115.5,53.25,1,0,0,0,0
69,60,26,8,17,23,27,11,19,6,15,11,4,3,7,8,3,4,9,25468,0.99,25725,16,904,2663,1104,92.25,49.75,1,0,0,0,0
143,53,34,83,108,33,24,24,13,27,19,8,6,1,4,8,9,10,10,24108,0.65,37089,42,1302,7677,4071,93.75,50.0,1,0,0,0,0
17,78,33,7,12,35,15,7,12,2,7,6,8,6,6,6,3,3,3,34294,0.68,50432,5,835,2692,1449,87.75,43.5,1,0,0,0,0
154,26,76,68,140,51,23,32,20,48,32,8,5,8,6,8,9,4,13,20867,0.54,38643,33,1634,5899,3018,92.25,44.0,1,0,0,0,0
79,76,59,28,44,65,27,32,29,18,20,14,14,12,15,18,6,4,6,26976,0.64,42150,13,1428,4470,2245,90.0,45.25,1,0,0,0,0
63,39,29,24,30,34,19,19,10,9,6,9,3,21,15,7,1,3,5,20389,0.55,37071,8,829,2430,1360,93.75,48.75,1,0,0,0,0
114,113,56,22,60,50,23,21,23,14,19,18,22,4,10,8,6,9,3,36699,0.78,47050,19,1643,7623,3574,95.0,45.0,1,0,0,0,0
65,77,41,33,31,40,23,26,22,19,16,13,2,15,10,8,4,6,5,28098,1.08,26017,25,1094,4637,2359,92.25,46.5,1,0,0,0,0
138,362,51,36,75,48,37,14,15,32,9,11,27,9,11,16,7,6,8,20489,0.67,30581,24,2066,7075,3155,102.0,43.0,1,0,0,0,0
84,51,45,20,52,38,17,8,13,6,9,10,9,1,3,4,3,6,4,15359,0.39,39382,19,1465,6107,2687,100.0,46.5,1,0,0,0,0
153,61,85,94,70,75,23,32,27,20,28,20,5,16,12,11,9,13,10,30849,1.18,26143,31,1909,12196,4782,93.5,46.0,1,0,0,0,0
16,39,25,6,14,19,10,6,9,2,4,4,1,7,4,2,0,3,2,17128,0.3,57093,8,442,1187,691,98.5,48.5,1,0,0,0,0
88,59,49,49,52,62,25,21,21,12,21,14,6,10,8,4,5,9,4,30368,0.72,42178,29,1427,5866,2985,100.5,47.5,1,0,0,0,0
70,29,63,21,23,31,24,23,15,5,16,10,4,4,7,5,3,13,2,36917,2.39,15446,32,1375,10901,5014,83.5,49.25,1,0,0,0,0
154,72,75,33,81,49,23,30,22,45,24,14,4,7,7,9,7,9,7,23510,0.56,41982,41,1894,7100,2935,96.0,45.75,1,0,0,0,0
91,111,35,26,27,35,18,18,17,10,12,11,6,5,9,5,3,6,7,25879,1.39,18618,24,1240,5035,2241,98.0,50.5,1,0,0,0,0
145,51,64,104,50,49,36,35,24,17,18,14,6,1,4,11,7,16,6,30067,1.02,29477,40,2618,17302,6020,98.0,49.0,1,0,0,0,0
104,70,44,24,74,42,21,28,20,22,18,15,10,5,11,10,7,11,8,22091,0.74,29853,39,1595,9606,4491,95.25,46.5,1,0,0,0,0
55,24,27,10,27,12,20,9,6,18,15,5,3,1,4,0,3,5,1,11712,1.1,10647,22,740,5680,3025,92.0,48.0,1,0,0,0,0
122,85,61,59,32,54,23,16,16,18,17,11,11,26,20,10,8,6,8,24151,0.57,42370,23,1743,9053,3669,95.25,46.25,1,0,0,0,0
75,119,54,16,39,49,26,17,23,15,13,9,6,4,5,4,4,6,6,27877,1.68,16593,26,1496,7978,3327,95.25,45.75,1,0,0,0,0
72,97,59,63,15,39,14,18,21,4,15,10,4,1,6,5,4,21,0,31227,1.2,26023,38,1310,5908,3195,81.75,46.0,1,0,0,0,0
165,106,51,92,68,60,24,28,18,46,19,17,8,23,19,53,11,8,13,28033,1.16,24166,34,1993,7067,2844,92.5,46.75,1,0,0,0,0
92,59,44,25,65,38,26,16,10,18,14,10,15,14,16,4,6,5,3,16526,0.62,26655,17,1623,6630,2596,99.5,45.5,1,0,0,0,0
96,84,57,29,39,56,20,17,19,22,15,3,11,6,8,4,4,5,4,22610,0.55,41109,17,1666,7315,3563,92.0,44.0,1,0,0,0,0
82,80,40,19,54,44,23,16,16,15,12,7,8,3,6,4,4,7,5,18120,0.6,30200,19,1344,4807,2317,93.25,44.5,1,0,0,0,0
82,138,37,50,38,53,29,24,20,14,12,8,2,6,17,6,5,8,6,32041,2.32,13811,25,1515,4786,2125,96.0,46.75,1,0,0,0,0
273,46,66,49,244,73,28,47,23,76,55,23,3,12,7,14,20,15,21,24419,1.16,21051,94,2379,14521,7048,83.0,45.0,1,0,0,0,0
59,40,22,15,71,30,44,6,10,43,10,4,8,11,5,62,1,1,11,18934,0.4,47335,8,946,3743,1412,111.25,46.5,1,0,0,0,0
117,169,41,32,46,61,38,19,25,18,14,14,12,3,18,12,8,12,7,36032,1.31,27505,23,1706,5415,2548,91.75,48.25,1,0,0,0,0
58,121,39,20,36,51,20,15,22,11,5,11,8,12,10,4,4,9,6,34765,0.8,43456,15,1131,3016,1638,96.25,49.25,1,0,0,0,0
54,113,29,23,35,47,14,14,12,8,6,12,8,5,11,4,2,4,4,22472,0.81,27743,15,992,4194,1877,107.25,45.0,1,0,0,0,0
121,121,25,86,66,39,27,18,11,19,11,12,9,8,8,10,11,6,4,25646,1.16,22109,24,2553,9154,3732,92.5,48.5,1,0,0,0,0
75,146,41,45,32,54,22,18,19,14,12,13,16,16,11,5,3,7,2,30491,1.02,29893,19,1423,3923,1975,97.5,48.0,1,0,0,0,0
18,69,22,9,21,20,9,10,13,2,6,7,6,0,7,2,2,4,3,22886,1.02,22437,8,722,3135,1531,102.25,47.0,1,0,0,0,0
269,141,90,30,98,75,85,36,27,32,22,15,26,9,11,55,12,7,5,38125,1.76,21662,41,7860,31582,13034,99.75,46.5,1,0,0,0,0
290,61,123,39,91,35,37,45,19,35,55,19,4,1,5,33,13,14,4,28449,1.02,27891,107,6797,82378,30763,71.75,44.5,1,0,0,0,0
136,93,65,90,87,65,52,37,19,35,14,12,4,32,15,46,6,9,7,29517,0.46,64167,19,1996,5334,2801,95.0,44.75,1,0,0,0,0
229,113,96,265,69,43,30,35,26,36,30,17,11,5,10,21,11,18,7,34993,1.03,33974,46,4812,25833,11823,78.75,44.0,1,0,0,0,0
67,134,31,7,23,30,25,14,14,9,16,11,9,2,12,7,4,6,7,25832,2.67,9675,14,1199,5691,2025,93.5,48.5,1,0,0,0,0
129,71,70,110,27,39,29,20,16,11,21,16,10,4,7,9,6,18,4,38233,1.47,26009,44,2699,14948,6959,71.75,45.0,1,0,0,0,0
76,73,31,25,33,38,16,16,12,14,18,7,5,8,12,5,7,9,4,21999,0.59,37286,12,1091,4783,2279,101.25,50.75,1,0,0,0,0
77,210,42,10,21,47,26,20,19,8,16,14,5,9,9,7,2,11,4,46230,4.6,10050,21,1518,7377,3029,80.25,47.75,1,0,0,0,0
