기간,자치구행정동명,인구,면적,인구밀도
2018,강동구 천호3동,28568,0.79,36162
2018,강북구 미아동,23228,0.73,31819
2018,강북구 번1동,19964,0.55,36298
2018,강북구 번2동,17504,1.25,14003
2018,강북구 번3동,18967,0.86,22055
2018,강북구 삼각산동,33524,0.62,54071
2018,강북구 삼양동,26575,0.95,27974
2018,강북구 송중동,29549,1.22,24220
2018,강북구 송천동,29519,0.88,33544
2018,강북구 수유1동,22338,1.07,20877
2018,강북구 수유2동,22526,0.73,30858
2018,강북구 수유3동,24280,0.86,28233
2018,강북구 우이동,21895,10.95,2000
2018,강북구 인수동,33046,2.93,11278
2018,강서구 가양1동,33556,4.7,7140
2018,강서구 가양2동,15763,1.0,15763
2018,강서구 가양3동,16516,0.99,16683
2018,강서구 공항동,28646,10.87,2635
2018,강서구 등촌1동,23558,0.59,39929
2018,강서구 등촌2동,22118,0.92,24041
2018,강서구 등촌3동,33279,0.79,42125
2018,강서구 발산1동,38879,2.96,13135
2018,강서구 방화1동,46357,1.04,44574
2018,강서구 방화2동,24391,6.41,3805
2018,강서구 방화3동,24912,2.38,10467
2018,강서구 염창동,41016,1.74,23572
2018,강서구 우장산동,46405,1.36,34121
2018,강서구 화곡1동,54687,1.12,48828
2018,강서구 화곡2동,20041,0.47,42640
2018,강서구 화곡3동,22730,0.51,44569
2018,강서구 화곡4동,22694,0.82,27676
2018,강서구 화곡6동,24840,1.12,22179
2018,강서구 화곡8동,26833,0.53,50628
2018,강서구 화곡본동,36390,1.11,32784
2018,관악구 낙성대동,17780,2.27,7833
2018,관악구 난곡동,29484,0.96,30713
2018,관악구 난향동,16693,0.8,20866
2018,관악구 남현동,18998,3.27,5810
2018,관악구 대학동,24823,8.3,2991
2018,관악구 미성동,33295,1.38,24127
2018,관악구 보라매동,26398,0.76,34734
2018,관악구 삼성동,26068,2.66,9800
2018,관악구 서림동,24881,0.99,25132
2018,관악구 서원동,23933,0.65,36820
2018,관악구 성현동,33033,0.68,48578
2018,관악구 신림동,22256,0.54,41215
2018,관악구 신사동,26442,0.64,41316
2018,관악구 신원동,20119,0.55,36580
2018,관악구 은천동,35797,0.78,45894
2018,관악구 인헌동,27293,1.08,25271
2018,관악구 조원동,19824,0.67,29588
2018,관악구 중앙동,15716,0.39,40297
2018,관악구 청룡동,30242,1.18,25629
2018,관악구 청림동,16527,0.3,55090
2018,관악구 행운동,30438,0.72,42275
2018,광진구 광장동,36309,2.39,15192
2018,광진구 구의1동,23282,0.56,41575
2018,광진구 구의2동,27974,1.39,20125
2018,광진구 구의3동,30476,1.02,29878
2018,광진구 군자동,22029,0.74,29769
2018,광진구 능동,11891,1.1,10810
2018,광진구 자양1동,24476,0.57,42940
2018,광진구 자양2동,27435,1.68,16330
2018,광진구 자양3동,30132,1.2,25110
2018,광진구 자양4동,24054,1.16,20736
2018,광진구 중곡1동,16500,0.62,26613
2018,광진구 중곡2동,22699,0.55,41271
2018,광진구 중곡3동,17843,0.6,29738
2018,광진구 중곡4동,31159,2.32,13431
2018,광진구 화양동,24804,1.16,21383
2018,구로구 가리봉동,16206,0.4,40515
2018,구로구 개봉1동,34658,1.31,26456
2018,구로구 개봉2동,33715,0.8,42144
2018,구로구 개봉3동,22156,0.81,27353
2018,구로구 고척1동,24659,1.16,21258
2018,구로구 고척2동,29543,1.02,28964
2018,구로구 구로1동,21911,1.02,21481
2018,구로구 구로2동,36289,1.76,20619
2018,구로구 구로3동,26974,1.02,26445
2018,구로구 구로4동,27165,0.46,59054
2018,구로구 구로5동,34085,1.03,33092
2018,구로구 수궁동,25461,2.67,9536
2018,구로구 신도림동,37615,1.47,25588
2018,구로구 오류1동,22651,0.59,38392
2018,구로구 오류2동,45398,4.6,9869
2018,금천구 가산동,24459,2.52,9706
2018,금천구 독산1동,41826,2.09,20012
2018,금천구 독산2동,22103,0.6,36838
2018,금천구 독산3동,30702,0.92,33372
2018,금천구 독산4동,18776,0.59,31824
2018,금천구 시흥1동,37078,1.71,21683
