기간,자치구행정동명,음료점
2015,관악구 낙성대동,34
2015,관악구 난곡동,7
2015,관악구 난향동,4
2015,관악구 남현동,15
2015,관악구 대학동,66
2015,관악구 미성동,13
2015,관악구 보라매동,21
2015,관악구 삼성동,1
2015,관악구 서림동,16
2015,관악구 서원동,42
2015,관악구 성현동,5
2015,관악구 신림동,33
2015,관악구 신사동_관악,13
2015,관악구 신원동,8
2015,관악구 은천동,19
2015,관악구 인헌동,25
2015,관악구 조원동,24
2015,관악구 중앙동,19
2015,관악구 청룡동,31
2015,관악구 청림동,8
2015,관악구 행운동,29
2015,광진구 광장동,32
2015,광진구 구의1동,41
2015,광진구 구의2동,24
2015,광진구 구의3동,40
2015,광진구 군자동,39
2015,광진구 능동,22
2015,광진구 자양1동,23
2015,광진구 자양2동,26
2015,광진구 자양3동,38
2015,광진구 자양4동,34
2015,광진구 중곡1동,17
2015,광진구 중곡2동,17
2015,광진구 중곡3동,19
2015,광진구 중곡4동,25
2015,광진구 화양동,94
2015,구로구 가리봉동,8
2015,구로구 개봉1동,23
2015,구로구 개봉2동,15
2015,구로구 개봉3동,15
2015,구로구 고척1동,24
2015,구로구 고척2동,19
2015,구로구 구로1동,8
2015,구로구 구로2동,41
2015,구로구 구로3동,107
2015,구로구 구로4동,19
2015,구로구 구로5동,46
2015,구로구 수궁동,14
2015,구로구 신도림동,44
2015,구로구 오류1동,12
2015,구로구 오류2동,21
2015,금천구 가산동,146
2015,금천구 독산1동,32
2015,금천구 독산2동,9
2015,금천구 독산3동,11
2015,금천구 독산4동,14
2015,금천구 시흥1동,44
2015,금천구 시흥2동,8
2015,금천구 시흥3동,8
2015,금천구 시흥4동,12
2015,금천구 시흥5동,12
2015,노원구 공릉1동,42
2015,노원구 공릉2동,58
2015,노원구 상계10동,8
2015,노원구 상계1동,39
2015,노원구 상계2동,63
2015,노원구 상계3.4동,15
2015,노원구 상계5동,16
2015,노원구 상계6.7동,25
2015,노원구 상계8동,6
2015,노원구 상계9동,2
2015,노원구 월계1동,38
2015,노원구 월계2동,9
2015,노원구 월계3동,13
2015,노원구 중계1동,20
2015,노원구 중계2.3동,23
2015,노원구 중계4동,16
2015,노원구 중계본동,28
2015,노원구 하계1동,19
2015,노원구 하계2동,1
2015,도봉구 도봉1동,20
2015,도봉구 도봉2동,18
2015,도봉구 방학1동,24
2015,도봉구 방학2동,6
2015,도봉구 방학3동,9
2015,도봉구 쌍문1동,21
2015,도봉구 쌍문2동,15
2015,도봉구 쌍문3동,11
2015,도봉구 쌍문4동,8
2015,도봉구 창1동,15
2015,도봉구 창2동,7
2015,도봉구 창3동,10
2015,도봉구 창4동,14
2015,도봉구 창5동,26
2015,동대문구 답십리1동,25
2015,동대문구 답십리2동,10
2015,동대문구 용신동,63
2015,동대문구 이문1동,56
2015,동대문구 이문2동,9
2015,동대문구 장안1동,39
2015,동대문구 장안2동,38
2015,동대문구 전농1동,46
2015,동대문구 전농2동,19
2015,동대문구 제기동,36
2015,동대문구 청량리동,24
2015,동대문구 회기동,61
2015,동대문구 휘경1동,23
2015,동대문구 휘경2동,18
2015,동작구 노량진1동,92
2015,동작구 노량진2동,25
2015,동작구 대방동,28
2015,동작구 사당1동,39
2015,동작구 사당2동,40
2015,동작구 사당3동,14
2015,동작구 사당4동,7
2015,동작구 사당5동,9
2015,동작구 상도1동,59
2015,동작구 상도2동,16
2015,동작구 상도3동,11
2015,동작구 상도4동,18
2015,동작구 신대방1동,13
2015,동작구 신대방2동,39
2015,동작구 흑석동,49
2015,마포구 공덕동,47
2015,마포구 대흥동,48
2015,마포구 도화동,44
2015,마포구 망원1동,32
2015,마포구 망원2동,22
2015,마포구 상암동,112
2015,마포구 서강동,86
2015,마포구 서교동,491
2015,마포구 성산1동,31
2015,마포구 성산2동,29
2015,마포구 신수동,17
2015,마포구 아현동,36
2015,마포구 연남동,50
2015,마포구 염리동,14
2015,마포구 용강동,46
2015,마포구 합정동,75
2015,서대문구 남가좌1동,4
2015,서대문구 남가좌2동,34
2015,서대문구 북가좌1동,4
2015,서대문구 북가좌2동,21
2015,서대문구 북아현동,7
2015,서대문구 신촌동,251
2015,서대문구 연희동,74
2015,서대문구 천연동,15
2015,서대문구 충현동,60
2015,서대문구 홍은1동,9
2015,서대문구 홍은2동,31
2015,서대문구 홍제1동,13
