,기간,자치구행정동명,음료점,사업체수,총종사자수,총여성종사자수,운영평균,폐업평균,서울운영평균,서울시폐업평균
149,2015,노원구 중계본동,28,1161,5330,2654,81.0,43.0,94.75,47.0
150,2015,노원구 하계1동,19,985,7550,3814,90.25,48.0,94.75,47.0
151,2015,노원구 하계2동,1,370,1240,710,103.0,54.0,94.75,47.0
152,2015,도봉구 도봉1동,20,1673,5804,2403,99.25,48.0,94.75,47.0
153,2015,도봉구 도봉2동,18,1459,6738,2729,90.25,46.25,94.75,47.0
154,2015,도봉구 방학1동,24,2346,10651,4863,83.25,42.5,94.75,47.0
155,2015,도봉구 방학2동,6,1222,2929,1440,88.25,44.5,94.75,47.0
156,2015,도봉구 방학3동,9,863,2984,1496,89.5,51.5,94.75,47.0
157,2015,도봉구 쌍문1동,21,910,3888,2100,94.25,42.25,94.75,47.0
158,2015,도봉구 쌍문2동,15,1278,5301,2762,86.0,46.0,94.75,47.0
159,2015,도봉구 쌍문3동,11,960,3779,1826,90.5,46.5,94.75,47.0
160,2015,도봉구 쌍문4동,8,611,1892,1001,88.25,44.25,94.75,47.0
161,2015,도봉구 창1동,15,1361,3672,1897,88.0,43.5,94.75,47.0
162,2015,도봉구 창2동,7,1368,4278,1987,89.25,47.25,94.75,47.0
163,2015,도봉구 창3동,10,961,2027,1071,93.5,46.5,94.75,47.0
164,2015,도봉구 창4동,14,1293,7590,3767,93.75,44.0,94.75,47.0
165,2015,도봉구 창5동,26,2150,7136,3261,85.75,43.0,94.75,47.0
166,2015,동대문구 답십리1동,25,2242,10292,4277,93.5,49.75,94.75,47.0
167,2015,동대문구 답십리2동,10,2030,6140,2468,102.75,50.75,94.75,47.0
168,2015,동대문구 용신동,63,5795,32090,13794,103.0,44.0,94.75,47.0
169,2015,동대문구 이문1동,56,1519,6688,3075,100.75,49.75,94.75,47.0
170,2015,동대문구 이문2동,9,702,1986,831,98.5,49.5,94.75,47.0
171,2015,동대문구 장안1동,39,4530,21265,9383,97.0,42.5,94.75,47.0
172,2015,동대문구 장안2동,38,3146,10951,5565,91.75,43.5,94.75,47.0
173,2015,동대문구 전농1동,46,2412,8614,4349,103.0,51.5,94.75,47.0
174,2015,동대문구 전농2동,19,916,4819,2301,104.0,46.25,94.75,47.0
175,2015,동대문구 제기동,36,4820,12227,5420,124.0,54.75,94.75,47.0
176,2015,동대문구 청량리동,24,1727,8561,3933,128.0,52.5,94.75,47.0
177,2015,동대문구 회기동,61,964,10333,5823,89.75,44.75,94.75,47.0
178,2015,동대문구 휘경1동,23,1035,4584,2329,96.0,48.0,94.75,47.0
179,2015,동대문구 휘경2동,18,1156,5308,2739,84.5,47.75,94.75,47.0
180,2015,동작구 노량진1동,92,2275,9726,5041,104.25,53.25,94.75,47.0
181,2015,동작구 노량진2동,25,1465,7140,3341,110.75,51.5,94.75,47.0
182,2015,동작구 대방동,28,1628,11904,5106,92.75,46.75,94.75,47.0
183,2015,동작구 사당1동,39,1850,10239,5058,93.0,45.0,94.75,47.0
184,2015,동작구 사당2동,40,1586,5438,2844,94.75,48.25,94.75,47.0
185,2015,동작구 사당3동,14,980,3921,1832,96.5,47.0,94.75,47.0
186,2015,동작구 사당4동,7,671,1844,985,96.5,45.75,94.75,47.0
187,2015,동작구 사당5동,9,490,1548,763,96.0,46.5,94.75,47.0
188,2015,동작구 상도1동,59,1684,8250,3827,88.75,49.25,94.75,47.0
189,2015,동작구 상도2동,16,1265,4607,2468,108.25,53.0,94.75,47.0
190,2015,동작구 상도3동,11,929,2591,1359,96.25,50.5,94.75,47.0
191,2015,동작구 상도4동,18,980,2784,1534,97.5,47.0,94.75,47.0
192,2015,동작구 신대방1동,13,1049,4190,2026,99.75,47.75,94.75,47.0
193,2015,동작구 신대방2동,39,1229,20312,9383,93.5,48.25,94.75,47.0
194,2015,동작구 흑석동,49,1528,9421,4924,100.25,53.0,94.75,47.0
195,2015,마포구 공덕동,47,2726,19681,8930,104.5,50.25,94.75,47.0
196,2015,마포구 대흥동,48,1635,11034,5741,102.5,47.75,94.75,47.0
197,2015,마포구 도화동,44,2044,16220,7794,97.0,49.0,94.75,47.0
198,2015,마포구 망원1동,32,1728,4751,1962,89.75,44.5,94.75,47.0
199,2015,마포구 망원2동,22,1368,5079,2036,87.0,43.75,94.75,47.0
200,2015,마포구 상암동,112,2242,35783,12635,56.0,40.5,94.75,47.0
201,2015,마포구 서강동,86,1735,11355,5774,73.0,42.75,94.75,47.0
202,2015,마포구 서교동,491,9736,60674,29805,71.25,44.25,94.75,47.0
203,2015,마포구 성산1동,31,1522,11416,3844,82.5,44.25,94.75,47.0
204,2015,마포구 성산2동,29,1814,11362,5858,88.25,49.5,94.75,47.0
205,2015,마포구 신수동,17,1171,5355,2411,94.5,49.25,94.75,47.0
206,2015,마포구 아현동,36,1894,13183,5378,99.75,46.75,94.75,47.0
207,2015,마포구 연남동,50,1406,5874,2730,65.5,49.0,94.75,47.0
208,2015,마포구 염리동,14,710,6603,2837,104.0,50.75,94.75,47.0
209,2015,마포구 용강동,46,2653,19599,7396,91.25,47.5,94.75,47.0
210,2015,마포구 합정동,75,2120,14565,5450,85.25,44.75,94.75,47.0
211,2015,서대문구 남가좌1동,4,676,1535,917,144.0,55.0,94.75,47.0
212,2015,서대문구 남가좌2동,34,1445,4170,2083,98.0,47.0,94.75,47.0
213,2015,서대문구 북가좌1동,4,631,2911,1126,78.25,42.25,94.75,47.0
214,2015,서대문구 북가좌2동,21,2349,6899,3078,93.0,46.25,94.75,47.0
215,2015,서대문구 북아현동,7,750,2023,996,128.0,58.75,94.75,47.0
216,2015,서대문구 신촌동,251,3747,37178,21946,95.75,46.75,94.75,47.0
217,2015,서대문구 연희동,74,2299,11422,4935,98.0,51.25,94.75,47.0
218,2015,서대문구 천연동,15,902,2826,1499,109.25,53.25,94.75,47.0
219,2015,서대문구 충현동,60,1822,24280,9647,107.25,52.5,94.75,47.0
220,2015,서대문구 홍은1동,9,954,2325,1165,115.5,52.0,94.75,47.0
221,2015,서대문구 홍은2동,31,1132,5819,2633,102.0,49.0,94.75,47.0
222,2015,서대문구 홍제1동,13,1088,4442,2275,99.75,53.0,94.75,47.0
223,2015,서대문구 홍제2동,6,568,1712,866,103.0,53.25,94.75,47.0
224,2015,서대문구 홍제3동,14,1249,4073,2251,112.25,57.0,94.75,47.0
225,2015,서초구 내곡동,7,644,8681,2530,102.5,54.75,94.75,47.0
226,2015,서초구 반포1동,43,1645,9696,4345,88.0,41.25,94.75,47.0
227,2015,서초구 반포2동,8,460,2885,1458,102.5,55.75,94.75,47.0
228,2015,서초구 반포3동,18,958,7474,3761,102.25,52.5,94.75,47.0
229,2015,서초구 반포4동,92,3579,34309,16279,113.0,57.0,94.75,47.0
230,2015,서초구 반포본동,17,655,2668,1443,114.5,54.0,94.75,47.0
231,2015,서초구 방배1동,40,1756,15680,6077,93.25,47.0,94.75,47.0
232,2015,서초구 방배2동,46,1976,19515,6164,90.75,47.75,94.75,47.0
233,2015,서초구 방배3동,20,1184,13939,4593,108.25,46.0,94.75,47.0
234,2015,서초구 방배4동,36,2403,14575,5756,103.5,46.0,94.75,47.0
235,2015,서초구 방배본동,44,1669,11038,5053,97.25,45.5,94.75,47.0
236,2015,서초구 서초1동,89,3655,31743,11948,102.25,47.0,94.75,47.0
237,2015,서초구 서초2동,95,4520,49732,18321,90.0,42.25,94.75,47.0
238,2015,서초구 서초3동,155,7518,75372,29159,99.25,45.5,94.75,47.0
239,2015,서초구 서초4동,81,2954,27279,13139,91.75,44.25,94.75,47.0
240,2015,서초구 양재1동,100,3707,46803,16046,89.75,45.5,94.75,47.0
241,2015,서초구 양재2동,85,5332,50256,15903,98.0,42.5,94.75,47.0
242,2015,서초구 잠원동,46,2446,18318,8004,96.25,45.0,94.75,47.0
243,2015,성동구 금호1가동,9,541,1943,1003,101.5,49.0,94.75,47.0
244,2015,성동구 금호2.3가동,15,975,2528,1412,106.75,55.0,94.75,47.0
245,2015,성동구 금호4가동,10,618,1887,1027,110.75,51.5,94.75,47.0
246,2015,성동구 마장동,17,3248,12544,4174,109.5,49.0,94.75,47.0
247,2015,성동구 사근동,66,1092,11115,5261,84.75,50.0,94.75,47.0
248,2015,성동구 성수1가1동,11,1486,6747,2423,105.0,47.5,94.75,47.0
249,2015,성동구 성수1가2동,43,2128,16991,6516,86.0,49.0,94.75,47.0
250,2015,성동구 성수2가1동,33,2568,18130,6534,97.25,47.0,94.75,47.0
251,2015,성동구 성수2가3동,55,4918,44795,15593,86.75,49.25,94.75,47.0
252,2015,성동구 송정동,5,702,2650,1002,103.0,46.0,94.75,47.0
253,2015,성동구 옥수동,16,796,2815,1559,87.0,48.5,94.75,47.0
254,2015,성동구 왕십리2동,4,760,2371,1323,92.25,51.0,94.75,47.0
255,2015,성동구 왕십리도선동,31,1848,10617,5412,91.75,48.5,94.75,47.0
256,2015,성동구 용답동,17,2108,15296,5654,113.25,47.0,94.75,47.0
257,2015,성동구 응봉동,7,378,1008,472,107.5,47.75,94.75,47.0
258,2015,성동구 행당1동,41,1399,8665,4238,84.75,48.5,94.75,47.0
259,2015,성동구 행당2동,12,565,1917,1173,77.75,47.75,94.75,47.0
260,2015,성북구 길음1동,20,1098,3790,2374,103.25,50.75,94.75,47.0
261,2015,성북구 길음2동,18,1198,5112,2922,80.25,52.75,94.75,47.0
262,2015,성북구 돈암1동,3,387,1764,896,95.0,45.0,94.75,47.0
263,2015,성북구 돈암2동,3,369,1917,1286,99.5,44.5,94.75,47.0
264,2015,성북구 동선동,70,1899,10276,5458,90.75,45.75,94.75,47.0
265,2015,성북구 보문동,8,1442,5350,2379,106.25,46.0,94.75,47.0
266,2015,성북구 삼선동,46,1889,10767,5285,94.25,50.0,94.75,47.0
267,2015,성북구 석관동,27,2102,8937,4055,103.5,48.5,94.75,47.0
268,2015,성북구 성북동,33,1077,5462,2796,104.5,59.75,94.75,47.0
269,2015,성북구 안암동,83,1454,14300,6735,90.75,49.5,94.75,47.0
270,2015,성북구 월곡1동,14,1353,5645,2887,101.75,46.75,94.75,47.0
271,2015,성북구 월곡2동,35,1606,8399,4358,89.25,48.75,94.75,47.0
272,2015,성북구 장위1동,10,1054,2734,1480,110.75,47.75,94.75,47.0
273,2015,성북구 장위2동,11,1638,4952,2436,120.0,49.0,94.75,47.0
274,2015,성북구 장위3동,6,902,3880,1642,112.0,51.5,94.75,47.0
275,2015,성북구 정릉1동,7,755,2012,994,91.0,48.5,94.75,47.0
276,2015,성북구 정릉2동,12,898,2991,1368,102.75,57.0,94.75,47.0
277,2015,성북구 정릉3동,14,687,4366,1919,107.0,54.25,94.75,47.0
278,2015,성북구 정릉4동,14,876,3996,1592,93.25,51.25,94.75,47.0
279,2015,성북구 종암동,22,2006,7243,3620,100.25,51.5,94.75,47.0
280,2015,송파구 가락1동,1,2954,10589,3102,117.0,62.5,94.75,47.0
281,2015,송파구 가락2동,29,1936,10867,4477,96.0,43.75,94.75,47.0
