,기간,자치구행정동명,한식,용달운송,부동산,옷가게,주점,미용실,슈퍼마켓,분식,세탁소,노래방,편의점,치킨집,카센터,과일채소가게,정육점,중국집,당구장,빵집,pc방
418,2015,중랑구 상봉2동,230,62,53,66,106,34,31,21,17,57,21,15,19,6,4,9,13,4,15
419,2015,중랑구 신내1동,112,169,37,21,36,43,28,23,21,15,9,15,12,3,5,5,5,5,5
420,2015,중랑구 신내2동,44,112,26,50,16,28,10,14,14,2,5,8,2,4,6,3,2,11,2
421,2015,중랑구 중화1동,43,99,32,11,12,40,26,12,12,4,7,3,4,2,3,3,0,3,0
422,2015,중랑구 중화2동,186,166,37,49,97,59,45,31,20,39,11,14,15,31,21,9,11,8,7
423,2016,강남구 개포1동,12,81,47,5,0,20,13,5,10,0,1,1,1,4,1,1,0,0,0
424,2016,강남구 개포2동,53,26,56,11,21,33,11,14,13,6,7,10,3,5,3,1,4,7,1
425,2016,강남구 개포4동,90,45,53,26,17,29,5,19,14,14,22,13,25,2,5,8,8,6,5
426,2016,강남구 논현1동,321,34,188,102,105,100,34,26,40,37,60,23,9,11,17,19,17,14,9
427,2016,강남구 논현2동,343,16,129,80,89,63,27,55,31,15,57,15,19,1,4,27,9,29,7
428,2016,강남구 대치1동,48,6,73,13,5,30,10,17,11,5,12,11,2,3,9,2,2,13,6
429,2016,강남구 대치2동,206,18,140,142,30,62,38,38,25,8,38,18,12,14,10,19,10,20,6
430,2016,강남구 대치4동,234,18,195,66,52,79,19,44,20,29,51,21,11,5,6,22,15,31,9
431,2016,강남구 도곡1동,77,30,74,33,19,30,10,22,13,3,23,7,13,2,2,4,5,9,1
432,2016,강남구 도곡2동,92,3,82,34,29,22,14,11,13,9,18,6,8,1,3,13,6,16,2
433,2016,강남구 삼성1동,250,29,95,252,46,32,23,34,10,16,39,14,9,2,4,29,14,29,2
434,2016,강남구 삼성2동,154,17,179,43,42,61,18,36,26,8,43,20,12,5,7,15,7,25,4
435,2016,강남구 세곡동,56,98,50,4,8,19,18,7,12,1,13,11,10,2,7,3,0,8,1
436,2016,강남구 수서동,87,42,51,5,14,16,10,12,10,5,10,7,0,1,2,7,3,8,2
437,2016,강남구 신사동,237,14,92,275,88,78,13,44,15,24,31,16,3,4,8,24,7,38,5
438,2016,강남구 압구정동,198,6,84,348,82,135,26,44,18,14,36,12,4,4,5,20,7,29,4
439,2016,강남구 역삼1동,866,31,559,230,214,165,63,114,64,83,140,58,17,4,5,63,42,50,32
440,2016,강남구 역삼2동,160,19,193,36,20,35,27,25,29,11,42,12,7,7,8,19,10,15,7
441,2016,강남구 일원1동,81,38,22,13,31,23,14,11,9,22,7,12,11,4,5,4,6,5,8
442,2016,강남구 일원2동,27,23,28,12,4,12,6,7,7,0,6,2,0,0,3,3,0,3,1
443,2016,강남구 일원본동,17,32,38,6,4,24,14,10,13,0,7,2,1,5,3,1,0,5,1
444,2016,강남구 청담동,178,17,131,169,68,142,17,31,25,9,49,11,10,3,5,22,6,32,4
445,2016,강동구 강일동,25,144,28,5,5,19,10,10,12,2,16,5,8,1,6,4,2,10,2
446,2016,강동구 고덕1동,31,75,43,1,17,17,9,6,10,4,6,4,5,3,4,3,1,1,1
447,2016,강동구 고덕2동,51,98,24,9,10,15,16,14,3,5,5,6,12,13,6,5,3,2,4
448,2016,강동구 길동,272,253,137,71,161,126,34,42,38,43,41,21,31,33,25,19,19,16,12
449,2016,강동구 둔촌2동,101,134,61,27,36,61,14,21,21,15,15,11,13,1,8,9,6,9,5
450,2016,강동구 명일1동,111,70,53,88,38,65,21,34,14,21,15,14,10,32,12,8,13,15,5
451,2016,강동구 명일2동,50,30,36,59,16,29,10,22,13,7,11,2,5,3,5,1,6,16,8
452,2016,강동구 상일동,75,123,44,2,18,14,20,8,9,9,7,10,6,2,4,7,4,2,2
453,2016,강동구 성내1동,136,85,48,17,42,31,15,24,15,12,19,6,20,1,5,11,10,6,1
454,2016,강동구 성내2동,144,100,83,24,69,82,23,27,21,26,20,14,17,11,11,14,11,18,8
455,2016,강동구 성내3동,184,88,81,50,105,73,14,35,22,32,26,22,20,18,20,16,15,12,14
456,2016,강동구 암사1동,127,203,63,42,57,83,33,29,28,27,21,13,13,22,17,8,10,10,10
457,2016,강동구 암사2동,57,85,41,10,14,27,15,8,9,7,7,3,4,3,3,4,3,7,3
458,2016,강동구 암사3동,17,75,22,13,3,22,11,7,7,0,4,4,5,4,5,0,0,6,0
459,2016,강동구 천호1동,73,156,46,39,29,66,24,19,22,7,18,14,10,4,12,6,5,8,3
460,2016,강동구 천호2동,277,180,94,372,138,87,53,37,35,38,35,13,27,23,27,18,11,13,10
461,2016,강동구 천호3동,114,121,60,104,65,56,27,26,21,15,19,16,8,8,7,11,9,7,8
462,2016,강북구 미아동,138,103,71,46,72,76,26,22,20,24,27,14,9,12,8,11,11,11,5
463,2016,강북구 번1동,130,65,55,37,78,56,27,27,18,34,28,9,8,6,8,7,6,7,5
464,2016,강북구 번2동,24,97,13,2,7,19,15,8,10,4,4,6,10,3,4,2,4,3,3
465,2016,강북구 번3동,30,71,14,5,15,23,14,7,10,3,9,9,4,2,6,2,2,5,3
466,2016,강북구 삼각산동,44,83,45,17,18,32,11,15,13,4,7,6,0,6,9,4,1,6,3
467,2016,강북구 삼양동,59,122,32,23,24,49,37,17,18,10,9,10,3,4,9,5,6,6,6
468,2016,강북구 송중동,173,104,58,56,96,63,32,28,22,33,21,17,16,12,13,14,11,10,6
469,2016,강북구 송천동,178,114,71,36,90,78,38,27,26,17,17,20,24,11,13,10,7,6,2
470,2016,강북구 수유1동,123,90,35,76,38,43,22,14,12,13,13,4,13,31,22,8,8,4,4
471,2016,강북구 수유2동,86,91,42,21,40,52,24,19,14,19,14,12,14,6,12,4,9,8,5
472,2016,강북구 수유3동,274,71,73,70,170,72,30,25,17,107,24,13,13,23,17,14,17,11,13
473,2016,강북구 우이동,167,62,18,34,55,24,26,15,10,21,12,9,9,5,14,4,7,6,2
474,2016,강북구 인수동,86,152,45,24,31,57,33,21,27,10,23,6,12,16,15,8,4,4,5
475,2016,강서구 가양1동,123,75,133,8,24,30,15,18,14,10,36,7,33,2,4,8,8,5,0
476,2016,강서구 가양2동,25,58,19,18,7,17,5,8,9,4,5,8,1,4,5,2,3,4,3
477,2016,강서구 가양3동,19,85,16,23,3,16,10,3,8,0,2,3,1,1,2,4,0,3,0
