매장명,매장주소
본 죽&비빔밥 관악구청점,"서울특별시 관악구 관악로 144 (봉천동, 우남네오폴리스) 1층 106호"
본 죽&비빔밥 대치롯데점,"서울특별시 강남구 도곡로 405 (대치동, 삼환 아르누보2) A동 104호"
본 죽&비빔밥 관악우체국점,"서울특별시 관악구 남부순환로 1637 (신림동, 건중빌딩)"
본 죽&비빔밥 노량진점,"서울특별시 동작구 만양로 81 (노량진동, 문화독서실)"
본 죽&비빔밥 명일동점,서울특별시 강동구 동남로73길 13 (명일동) 104호
본 죽&비빔밥 은평뉴타운점,"서울특별시 은평구 진관3로 11 (진관동, 은평뉴타운힐데스하임) 101동 106호"
본 죽&비빔밥 덕성여대점,서울특별시 도봉구 삼양로 534 (쌍문동)
본 죽&비빔밥 은평성모병원점,"서울특별시 은평구 진관1로 21-39 (진관동, 메이플카운티)"
본 죽&비빔밥 창4동점,"서울특별시 도봉구 노해로69길 26 (창동, 창동시티월드) 창동씨티월드 1층"
본 죽&비빔밥 문래홈플러스점,"서울특별시 영등포구 당산로 34 (문래동3가, 로데오 왘 쇼핑몰) 103호"
본 죽&비빔밥 신방화역점,"서울특별시 강서구 마곡중앙5로 81 (마곡동, 에스비타운)"
본 죽&비빔밥 우장산역점,"서울특별시 강서구 강서로 247 (화곡동, 선왕주내과의원) 1006-2호 1층 8호"
본 죽&비빔밥 용문동점,서울특별시 용산구 새창로 106 (용문동)
본 죽&비빔밥 신도림점,서울특별시 구로구 경인로59길 8 (신도림동) 태영프라자 112호
본 죽&비빔밥 이수점,서울특별시 동작구 동작대로27길 23 (사당동)
본 죽&비빔밥 용산역아이파크몰점,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역) 용산역사 아이파크몰 4층"
본 죽&비빔밥 연신내점,서울특별시 은평구 연서로 252 (불광동)
본 죽&비빔밥 둔촌보훈병원점,서울특별시 강동구 진황도로 189 (둔촌동) 1층 101호
본 죽&비빔밥 구산역점,"서울 은평구 서오릉로 134 (대조동, 메디칼) 1층"
본 죽&비빔밥 오류점,서울특별시 구로구 경인로 203-1 (오류동)
본 죽&비빔밥 가양점,"서울특별시 강서구 양천로 564 (등촌동, 등촌동두산위브센티움) 106호"
본 죽&비빔밥 성신여대점,서울특별시 성북구 보문로34길 51 (동선동1가) 1층
본 죽&비빔밥 발산사거리점,"서울특별시 강서구 공항대로 269-15 (마곡동, 힐스테이트에코마곡) 105호"
본 죽&비빔밥 고려대점,서울특별시 성북구 고려대로 90 (안암동5가) 2층
본 죽&비빔밥 장지파인타운점,"서울특별시 송파구 충민로2길 24 (장지동, 리더스프라자) 101호"
본 죽&비빔밥 잠실점,서울특별시 송파구 올림픽로35길 112 장미아파트 비상가 1동 104호
본 죽&비빔밥 불광역아울렛점,서울특별시 은평구 불광로 16 (대조동) 1층
본 죽&비빔밥 영등포시장역점,서울특별시 영등포구 영등포로 219 (영등포동5가)
본 죽&비빔밥 목동파라곤점,"서울특별시 양천구 목동서로 155 (목동, 목동파라곤) B1-15호"
본 죽&비빔밥 망원역점,서울특별시 마포구 망원로 85 (망원동)
본 죽&비빔밥 건대점,서울특별시 광진구 능동로 95 (자양동) 2층
본 죽&비빔밥 시흥사거리점,서울특별시 금천구 금하로 619 (시흥동) 1층
본 죽&비빔밥 장한평역점,서울특별시 동대문구 천호대로 427-4 (장안동)
본 죽&비빔밥 강남역점,서울특별시 서초구 서초대로78길 36 강남지웰타워 201호
본 죽&비빔밥 강남점,서울특별시 강남구 강남대로94길 21 (역삼동)
본 죽&비빔밥 강남성심병원점,"서울특별시 영등포구 시흥대로 681 (대림동, 삼성YJ그랜드빌딩) 신관 2층"
본 죽&비빔밥 역삼역점,서울특별시 강남구 봉은사로30길 78 2층
본 죽&비빔밥 연희점,서울특별시 서대문구 연희맛로 18 (연희동) 1층
본 죽&비빔밥 당산점,"서울특별시 영등포구 양평로 16, 1층 (당산동6가,대정프라자)"
본 죽&비빔밥 선릉점,서울특별시 강남구 선릉로 424
본 죽&비빔밥 한성대입구점,"서울특별시 성북구 삼선교로 8 (삼선동1가, 기성빌딩) 1이 19번지"
본 죽&비빔밥 문정법조단지점,"서울특별시 송파구 송파대로 167 (문정동, 문정역테라타워) B동 1층 130호"
본 죽&비빔밥 양남사거리점,"서울특별시 영등포구 선유로 76 (문래동3가, 동국메뜨리앙) 108호"
본 죽&비빔밥 까치산역점,서울특별시 강서구 강서로 42 (화곡동) 1층
본 죽&비빔밥 광장동점,"서울특별시 광진구 천호대로 808 (광장동, 광장12차 현대홈타운) 1202동 지하 108호"
본 죽&비빔밥 마곡역점,"서울특별시 강서구 마곡중앙6로 16 (마곡동, 마곡지엠지타워) 111호"
본 죽&비빔밥 명동2호점,"서울특별시 중구 명동9길 10, 2층 (명동1가)"
본 죽&비빔밥 화곡역점,"서울특별시 강서구 화곡로25길 2 (화곡동, KBH빌딩) 202호"
본 죽&비빔밥 목동파리공원점,"서울특별시 양천구 목동서로 77 (목동, 현대월드타워) 현대월드타워 1층 141,142호"
본 죽&비빔밥 서초법원점,서울특별시 서초구 반포대로30길 53 (서초동) 1층
본 죽&비빔밥 서울의료원점,서울특별시 중랑구 신내로16길 17 (신내동) 한솔메디칼타워 101호
본 죽&비빔밥 독산역점,서울특별시 금천구 범안로 1130 가산디지털엠파이어 108호
본 죽&비빔밥 해운대백병원점,"부산광역시 해운대구 좌동순환로 252 (좌동, 대원아파트) 2층 203호"
본 죽&비빔밥 부산명지CGV점,"부산광역시 강서구 명지국제8로10번길 46 (명지동, 플러스존1) 119호"
본 죽&비빔밥 구서쌍용예가점,부산광역시 금정구 구서로 26 (구서동) 본죽&비빔밥 구서쌍용예가점
본 죽&비빔밥 부산명륜동점,부산광역시 동래구 명륜로 196 (명륜동) 1층
본 죽&비빔밥 부산대연점,"부산광역시 남구 수영로 248 (대연동, 메트로타워) 102호"
