매장명,매장주소,lat,lng
본죽 경희대점,충북 충주시 연수동산로3길 20,37.5917349,127.052477
본도시락 마곡나루점,충북 충주시 연수동산로3길 20,37.5692784,126.8261367
본 죽&비빔밥 쌍문점,충북 충주시 연수동산로3길 20,37.659492,127.0352013
본 죽&비빔밥 창동점,충북 충주시 연수동산로3길 20,37.6531966,127.0452685
본도시락 방학사거리점,충북 충주시 연수동산로3길 20,37.6630372,127.0404891
본도시락 서울시청점,충북 충주시 연수동산로3길 20,37.5622394,126.976811
본도시락 상봉점,충북 충주시 연수동산로3길 20,37.5906605,127.0803954
본 죽&비빔밥 양재은광여고점,충북 충주시 연수동산로3길 20,37.4856367,127.0370712
본도시락 은평뉴타운점,충북 충주시 연수동산로3길 20,37.6348572,126.9195953
본도시락 강남구청역점,충북 충주시 연수동산로3길 20,37.5145076,127.0420276
본 죽&비빔밥 선유도역점,충북 충주시 연수동산로3길 20,37.5372436,126.8947718
본 죽&비빔밥 대흥역점,충북 충주시 연수동산로3길 20,37.547484,126.9412488
본 죽&비빔밥 상일동역점,충북 충주시 연수동산로3길 20,37.5573672,127.1684125
본 죽&비빔밥 연세세브란스빌딩점,충북 충주시 연수동산로3길 20,37.5570913,126.9736575
본 죽&비빔밥 장승배기역점,충북 충주시 연수동산로3길 20,37.5058647,126.9384711
본 죽&비빔밥 가산테라타워점,충북 충주시 연수동산로3길 20,37.4745451,126.8897367
본 죽&비빔밥 세곡점,충북 충주시 연수동산로3길 20,37.4667896,127.1007772
본 죽&비빔밥 마곡나루역점,충북 충주시 연수동산로3길 20,37.5688514,126.8273386
본도시락 고대구로병원점,충북 충주시 연수동산로3길 20,37.4904803,126.8827825
본도시락 신내점,충북 충주시 연수동산로3길 20,37.6198603,127.106475
본도시락 보라매점,충북 충주시 연수동산로3길 20,37.4996018,126.9251751
본도시락 위례중앙점,충북 충주시 연수동산로3길 20,37.4748656,127.1415892
본 죽&비빔밥 충정로브라운스톤점,충북 충주시 연수동산로3길 20,37.5609183,126.9683304
본도시락 공릉점,충북 충주시 연수동산로3길 20,37.6272157,127.0800055
본 죽&비빔밥 숙대입구역점,충북 충주시 연수동산로3길 20,37.5446912,126.9692113
본 죽&비빔밥 한남순천향병원점,충북 충주시 연수동산로3길 20,37.5334811,127.0052868
본도시락 동국대점,충북 충주시 연수동산로3길 20,37.5611813,127.0015433
본도시락 동여의도점,충북 충주시 연수동산로3길 20,37.5189705,126.932984
본 죽&비빔밥 삼성역점,충북 충주시 연수동산로3길 20,37.5068487,127.0594706
본 죽&비빔밥 포이점,충북 충주시 연수동산로3길 20,37.4764474,127.0437251
본 죽&비빔밥 낙성대점,충북 충주시 연수동산로3길 20,37.4778443,126.9626883
본죽 수락산역점,충북 충주시 연수동산로3길 20,37.6803112,127.0549036
본도시락 미아사거리점,충북 충주시 연수동산로3길 20,37.6098246,127.0323907
본도시락 서울역점,충북 충주시 연수동산로3길 20,37.5496231,126.9715181
본 죽&비빔밥 중앙대점,충북 충주시 연수동산로3길 20,37.5074209,126.9597493
본 죽&비빔밥 굽은다리역점,충북 충주시 연수동산로3길 20,37.5466253,127.1441985
본도시락 공덕역점,충북 충주시 연수동산로3길 20,37.5433349,126.953799
본 죽&비빔밥 노원점,충북 충주시 연수동산로3길 20,37.6531273,127.0584492
본 죽&비빔밥 관악구청점,충북 충주시 연수동산로3길 20,37.4779433,126.9526208
본 죽&비빔밥 대치롯데점,충북 충주시 연수동산로3길 20,37.4973826,127.0547242
본도시락 일원점,충북 충주시 연수동산로3길 20,37.4899538,127.0841188
본도시락 구로역점,충북 충주시 연수동산로3길 20,37.5054551,126.8765387
본 죽&비빔밥 관악우체국점,충북 충주시 연수동산로3길 20,37.4849078,126.9326408
본도시락 목동점,충북 충주시 연수동산로3길 20,37.5219407,126.8621633
본 죽&비빔밥 노량진점,충북 충주시 연수동산로3길 20,37.5108098,126.9444594
본죽 신대방역점,충북 충주시 연수동산로3길 20,37.4866677,126.913178
본 죽&비빔밥 명일동점,충북 충주시 연수동산로3길 20,37.5527561,127.1554486
본 죽&비빔밥 은평뉴타운점,충북 충주시 연수동산로3길 20,37.6394039,126.9182748
본도시락 서소문점,충북 충주시 연수동산로3길 20,37.5603171,126.964858
본죽 동부이촌동점,충북 충주시 연수동산로3길 20,37.5212305,126.9673853
본죽 노원7단지점,충북 충주시 연수동산로3길 20,37.6569219,127.0618369
본 죽&비빔밥 덕성여대점,충북 충주시 연수동산로3길 20,37.6507356,127.0133854
본도시락 종로3가점,충북 충주시 연수동산로3길 20,37.5670158,126.9885202
본죽 등촌역점,충북 충주시 연수동산로3길 20,37.5480729,126.8635119
본 죽&비빔밥 은평성모병원점,충북 충주시 연수동산로3길 20,37.6338708,126.9185774
본죽 상암하늘초교점,충북 충주시 연수동산로3길 20,37.5850443,126.8798702
본 죽&비빔밥 창4동점,충북 충주시 연수동산로3길 20,37.6536875,127.0509513
본 죽&비빔밥 문래홈플러스점,충북 충주시 연수동산로3길 20,37.5174632,126.8964938
본죽 고덕래미안점,충북 충주시 연수동산로3길 20,37.5589391,127.152014
본 죽&비빔밥 신방화역점,충북 충주시 연수동산로3길 20,37.567121,126.8185936
본도시락 이대점,충북 충주시 연수동산로3길 20,37.5582892,126.9447731
본 죽&비빔밥 우장산역점,충북 충주시 연수동산로3길 20,37.547796,126.8360474
본도시락 금천구청점,충북 충주시 연수동산로3길 20,37.4561082,126.8995727
본 죽&비빔밥 용문동점,충북 충주시 연수동산로3길 20,37.5379701,126.959862
본 죽&비빔밥 신도림점,충북 충주시 연수동산로3길 20,37.5064034,126.8833762
본죽 은평뉴타운2지구점,충북 충주시 연수동산로3길 20,37.634604,126.9277837
본죽 대림역점,충북 충주시 연수동산로3길 20,37.4922949,126.8962383
본 죽&비빔밥 이수점,충북 충주시 연수동산로3길 20,37.487447,126.9806752
본죽 신금호역점,충북 충주시 연수동산로3길 20,37.554059,127.0196887
